LIB,Sample,PInumber,ISnum,WASAP,PlantName,Population,DuplicateLIBdecision,FilterMissing,Proportion.Missing,Proportion.Heterozygous,InbreedCoefficent,Kmeans_cluster,Germplasm,BotanicalType,CountryOrigin,Region,lat,lon,Elevation,Continent
INMF,PI329519_IS_11271,PI329519,IS11271,NA,IS11271,BAP,NA,NA,0.15028602,0.0231049,1.624303,11,Landrace,Durra-Bicolor,Ethiopia,NA,8.115049,38.375389,NA,Africa
INMG,PI329569_IS_11320,PI329569,IS11320,NA,IS11320,BAP,NA,NA,0.141360696,0.019709033,1.166746,18,Landrace,Durra-Bicolor,Ethiopia,NA,7.773738,37.227645,NA,Africa
INMH,PI329570_IS_11321,PI329570,IS11321,NA,IS11321,BAP,NA,NA,0.15167471,0.02073194,1.580772,11,Landrace,NA,Ethiopia,NA,7.849999,36.583333,NA,Africa
INMI,PI329584_IS_11335,PI329584,IS11335,NA,IS11335,BAP,NA,NA,0.145411518,0.023808803,1.648776,11,Landrace,Durra-Bicolor,Ethiopia,NA,7.974374,37.439209,NA,Africa
INMJ,PI329585_IS_11336,PI329585,IS11336,NA,Col. No. 724 B,BAP,NA,NA,0.15283845,0.022586489,1.605993,11,Landrace,NA,Ethiopia,NA,7.974374,37.439209,1922,Africa
INMK,PI329605_IS_11350,PI329605,IS11350,NA,IS11350,BAP,NA,NA,0.145699999,0.021391662,1.560969,11,Landrace,NA,Ethiopia,NA,8.970002,37.849998,NA,Africa
INML,PI365512_1130,PI365512,NA,NA,1130,BAP,NA,NA,0.074180996,0.011119814,1.125594,8,NA,Caudatum,South Africa,KwaZulu-Natal,-30.559483,22.937506,400,Africa
INMM,PI452542_ETS_2029,PI452542,NA,NA,ETS 2029,BAP,NA,NA,0.135514433,0.020364564,1.115603,18,NA,Durra,Ethiopia,NA,NA,NA,NA,Africa
INMN,PI452544_ETS_2030,PI452544,NA,NA,ETS 2030,BAP,NA,NA,0.13279598,0.020086865,1.201928,2,NA,Durra,Ethiopia,NA,9.145,40.489674,NA,Africa
INMP,PI452619_ETS_2069,PI452619,NA,NA,ETS 2069,BAP,NA,NA,0.102241168,0.021862694,1.189844,18,NA,Guinea-Durra,Ethiopia,NA,NA,NA,NA,Africa
INMQ,PI452692_ETS_2110,PI452692,NA,NA,ETS 2110,BAP,NA,NA,0.134195901,0.022218405,1.194177,18,NA,Durra,Ethiopia,NA,NA,NA,NA,Africa
INMR,PI455217_ETS_3455,PI455217,NA,NA,ETS 3455,BAP,NA,NA,0.134136086,0.023001998,1.198454,18,NA,Durra,Ethiopia,NA,NA,NA,NA,Africa
INMS,PI455301_ETS_3493,PI455301,NA,NA,ETS 3493,BAP,NA,remove,0.829958993,0.01161923,0.150041,NA,NA,Kafir-Durra,Ethiopia,NA,NA,NA,NA,Africa
INMT,PI506030_Tchinlouol,PI506030,NA,NA,Tchinlouol,BAP,NA,NA,0.105630478,0.018067416,1.166052,14,Landrace,Guinea,Togo,NA,10.73333333,0.3,NA,Africa
INMU,PI513898_Abokoun_Wewe,PI513898,NA,NA,Abokoun Wewe,BAP,NA,NA,0.130473631,0.020222875,1.308431,4,Cultivar,Guinea,Benin,NA,9.30769,2.315834,1000,Africa
INMW,PI514456_IS_20043,PI514456,IS20043,NA,Sg. 1873,BAP,NA,NA,0.111631422,0.020225593,1.180558,17,"Landrace,Cultivated",Guinea,Senegal,NA,13.380001,-12.279999,NA,Africa
INMX,PI521019_Andiwo,PI521019,NA,NA,Andiwo,BAP,NA,NA,0.10592603,0.017926342,1.118481,5,Cultivar,Durra-Caudatum,Kenya,NA,NA,NA,NA,Africa
INMY,PI521290_Bishehe,PI521290,NA,NA,Bishehe,BAP,NA,NA,0.091861322,0.016640272,1.133285,16,Cultivar,Guinea-Bicolor,Kenya,NA,NA,NA,NA,Africa
INMZ,PI524475_Nvarkan,PI524475,NA,NA,Nvarkan,BAP,NA,NA,0.105773318,0.017569046,1.10733,19,Cultivar,Caudatum-Bicolor,Sudan,NA,NA,NA,NA,Africa
INNA,PI527045_AMM_1051,PI527045,NA,NA,AMM 1051,BAP,NA,NA,0.092146503,0.016095991,1.120283,5,Landrace,Caudatum,Zimbabwe,NA,-18.58333333,31.58333333,1200,Africa
INNB,PI533902_Orange_No_l_Baijo,PI533902,NA,NA,"Orange No. l, Baijo",BAP,unresolved,NA,0.151244526,0.021434891,1.524673,11,Breeding,Durra-Bicolor,Ethiopia,NA,NA,NA,NA,Africa
INNC,PI533998_Brawley,PI533998,NA,NA,Brawley,BAP,keep,NA,0.095150164,0.014665515,1.190358,16,Breeding,Bicolor,NA,NA,NA,NA,NA,NA
INND,PI534120,PI534120,NA,NA,"Sumac No. 2, Baijo, Shoa, Ethiopia",BAP,keep,NA,0.114889206,0.02022262,1.486071,11,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
INNE,PI534165_Kalati_Consa,PI534165,NA,NA,Kalati Consa,BAP,NA,NA,0.094345785,0.015158291,1.096174,9,Breeding,NA,Sudan,NA,NA,NA,NA,Africa
INNH,PI535795_N110,PI535795,NA,NA,N110,BAP,NA,NA,0.116826628,0.018709196,1.293868,15,Breeding,NA,United States,Nebraska,NA,NA,NA,Americas
INNI,PI552851_7035S,PI552851,NA,NA,7035S,BAP,NA,NA,0.127290803,0.020689364,1.193953,2,Breeding,NA,United States,Nebraska,NA,NA,NA,Americas
INNJ,PI561072_BTxARG-1,PI561072,NA,NA,A/BTxARG-1,BAP,unresolved,NA,0.093597698,0.007015864,0.930486,14,Breeding,NA,United States,Texas,NA,NA,NA,Americas
INNK,PI562732_LGV88-1_DWARF,PI562732,NA,NA,LGV 88-1 (DWARF),BAP,NA,NA,0.12138331,0.018963844,1.138944,18,Cultivar,Durra-Caudatum,Mexico,NA,NA,NA,NA,Americas
INNL,PI562781_IS_3869,PI562781,IS3869,NA,IS3869,BAP,NA,NA,0.125982781,0.020972949,1.294685,4,"Landrace,Cultivated",Guinea,Mali,NA,12.65,-8,NA,Africa
INNN,PI562970_FARAFARA,PI562970,NA,NA,FARAFARA,BAP,NA,NA,0.111392163,0.018254685,1.173089,4,Cultivar,NA,Nigeria,NA,10.27999973,11.17000008,NA,Africa
INSR,7786_AGG324558SORG,AGG324558SORG,IS33209,NA,CSM 88,Gates,NA,NA,0.105331127,0.021335033,1.070266,19,Landrace,NA,Cameroon,NA,10.789999,14.659999,300,Africa
INSS,7787_AGG324559SORG,AGG324559SORG,IS36633,NA,Selection of IS 3413,Gates,NA,NA,0.09543737,0.016541555,1.047737,5,Breeding,NA,India,NA,NA,NA,NA,Asia
INST,7788_AGG324561SORG,AGG324561SORG,IS33261,NA,CSM 138,Gates,NA,NA,0.109963735,0.019385412,1.086712,19,Landrace,NA,Cameroon,NA,10.069999,14.609999,500,Africa
INSU,7789_AGG324563SORG,AGG324563SORG,IS32569,NA,NA,Gates,NA,NA,0.126596984,0.023454577,1.216577,18,Landrace,NA,Somalia,NA,2.789999,44.080001,170,Africa
INSW,7790_AGG324564SORG,AGG324564SORG,IS32087,NA,YSC 3067,Gates,NA,NA,0.122146094,0.022052038,1.197531,19,Landrace,NA,Yemen,NA,13.439999,44.459999,1380,Asia
INSX,7791_AGG324565SORG,AGG324565SORG,IS31852,NA,YSC 2275,Gates,NA,NA,0.124959801,0.025288044,1.344348,2,Landrace,NA,Yemen,NA,13.449999,44.470001,200,Asia
INSY,7792_AGG324566SORG,AGG324566SORG,IS31693,NA,S. bicolor 71; PI 527440,Gates,NA,NA,0.103764934,0.020391638,1.340563,16,Landrace,NA,Algeria,NA,NA,NA,NA,Africa
INSZ,7793_AGG324570SORG,AGG324570SORG,IS30175,NA,NA,Gates,NA,NA,0.102640155,0.018812431,1.153728,7,Landrace,NA,Zimbabwe,NA,-18.079999,32.669998,1350,Africa
INTB,7795_AGG324573SORG,AGG324573SORG,IS31681,NA,S. bicolor 15; PI 527428,Gates,NA,NA,0.133496814,0.023440525,1.392459,3,Landrace,NA,Algeria,NA,NA,NA,NA,Africa
INTC,7796_AGG324574SORG,AGG324574SORG,IS31559,NA,IZ 93,Gates,NA,NA,0.103099928,0.019535698,1.250169,1,Landrace,NA,Burundi,NA,-2.349999,29.979999,NA,Africa
INTD,7797_AGG324575SORG,AGG324575SORG,IS30619,NA,NA,Gates,NA,NA,0.104392615,0.019700349,1.105199,5,Landrace,NA,Cameroon,NA,12.380001,14.899999,380,Africa
INTE,7798_AGG324577SORG,AGG324577SORG,IS30503,NA,SOG 98,Gates,NA,NA,0.117003826,0.020762476,1.249017,15,Landrace,NA,North Korea,NA,NA,NA,NA,Asia
INTF,7799_AGG324579SORG,AGG324579SORG,IS29691,NA,NA,Gates,NA,NA,0.098586228,0.023352455,1.103933,7,Landrace,NA,Zimbabwe,NA,-19.520001,31.629999,900,Africa
INTG,7800_AGG324581SORG,AGG324581SORG,IS29606,NA,Arnold 1757,Gates,NA,NA,0.092767723,0.01657284,1.129855,16,Landrace,NA,South Africa,NA,NA,NA,NA,Africa
INTH,7801_AGG324582SORG,AGG324582SORG,IS29569,NA,NA,Gates,NA,NA,0.071517478,0.01243364,1.166843,16,Landrace,NA,Lesotho,NA,-29.319999,27.479999,1673,Africa
INTI,7802_AGG324585SORG,AGG324585SORG,IS27855,NA,NA,Gates,NA,NA,0.131554678,0.025453225,1.539863,12,Landrace,NA,South Africa,NA,-23.379999,30.959999,690,Africa
INTJ,7803_AGG324586SORG,AGG324586SORG,IS29233,NA,NA,Gates,NA,NA,0.079050451,0.01340142,1.164134,16,Landrace,NA,Eswatini,NA,-26.950002,31.010001,1000,Africa
INTL,7805_AGG324588SORG,AGG324588SORG,IS29472,NA,NA,Gates,NA,NA,0.078621238,0.014189672,1.174087,16,Landrace,NA,Lesotho,NA,-30.020242,27.549999,1600,Africa
INTM,7806_AGG324589SORG,AGG324589SORG,IS29409,NA,NA,Gates,NA,NA,0.072385638,0.012887356,1.158228,16,Landrace,NA,Lesotho,NA,-29.530006,28.149999,2150,Africa
INTN,7807_AGG324590SORG,AGG324590SORG,IS29407,NA,NA,Gates,NA,NA,0.189817928,0.007479779,0.964223,16,Landrace,NA,Lesotho,NA,-29.530006,28.149999,2150,Africa
INTP,7808_AGG324591SORG,AGG324591SORG,IS29375,NA,NA,Gates,NA,NA,0.079674804,0.01374322,1.15967,16,Landrace,NA,Lesotho,NA,-29.510002,27.620001,1520,Africa
INTQ,7809_AGG324594SORG,AGG324594SORG,IS24072,NA,TLSC 243-2,Gates,NA,NA,0.102128804,0.018397343,1.236943,7,Landrace,NA,Tanzania,NA,NA,NA,NA,Africa
INTR,7810_AGG324596SORG,AGG324596SORG,IS23777,NA,MW 80-444,Gates,NA,NA,0.104422425,0.019295687,1.202857,7,Landrace,NA,Malawi,NA,NA,NA,NA,Africa
INTS,7811_AGG324608SORG,AGG324608SORG,IS23254,NA,NA,Gates,NA,NA,0.11403688,0.022849163,1.316423,7,Landrace,NA,Zambia,NA,NA,NA,NA,Africa
INTT,7812_AGG324610SORG,AGG324610SORG,IS23645,NA,NA,Gates,NA,NA,0.176021791,0.037187469,2.394625,10,Landrace,NA,Gambia,NA,13.659999,-15.399999,NA,Africa
INTU,7813_AGG324611SORG,AGG324611SORG,IS23666,NA,NA,Gates,NA,NA,0.175227727,0.037630242,2.401262,10,Landrace,NA,Gambia,NA,13.312229,-15.885547,NA,Africa
INTW,7814_AGG324613SORG,AGG324613SORG,IS18800,NA,S. verticilliflorum,Gates,NA,NA,0.139660814,0.029066844,1.525696,12,Wild,NA,South Africa,NA,NA,NA,NA,Africa
INTX,7815_AGG324617SORG,AGG324617SORG,IS16396,NA,4-2-11-2-A,Gates,NA,NA,0.121961381,0.021877328,1.344326,4,Landrace,NA,Cameroon,NA,NA,NA,NA,Africa
INTY,7816_AGG324619SORG,AGG324619SORG,IS21991,NA,NA,Gates,NA,NA,0.11295342,0.021075917,1.168121,2,Landrace,NA,India,NA,19.680001,78.650001,370,Asia
INTZ,7817_AGG324620GORG,AGG324620SORG,IS21849,NA,HD 298,Gates,NA,NA,0.180544891,0.034805679,2.320364,10,Landrace,NA,Sierra Leone,NA,NA,NA,NA,Africa
INUA,7818_AGG324621SORG,AGG324621SORG,IS21691,NA,HD 279,Gates,NA,NA,0.110582487,0.020241523,1.314996,16,Wild,NA,Niger,NA,NA,NA,NA,Africa
INUB,7819_AGG324631SORG,AGG324631SORG,IS20097,NA,BIS 1974,Gates,NA,NA,0.107200664,0.020106209,1.219678,17,Landrace,NA,Senegal,NA,NA,NA,NA,Africa
INUC,7820_AGG324634SORG,AGG324634SORG,IS19847,NA,NA,Gates,NA,NA,0.11754044,0.020659523,1.184901,2,Landrace,NA,India,NA,24.909999,79.589996,NA,Asia
INUD,7821_AGG324635SORG,AGG324635SORG,IS19685,NA,NA,Gates,NA,NA,0.101203519,0.025529042,1.174369,7,Landrace,NA,India,NA,21.1,80.910001,NA,Asia
INUE,7822_AGG324636SORG,AGG324636SORG,IS19466,NA,EC 121363; Mardakadawala x Combine bulk Kafir (CK 60 B),Gates,NA,NA,0.129912198,0.027110911,1.848922,10,Landrace,NA,Sri Lanka,NA,NA,NA,NA,Asia
INUF,7823_AGG324637SORG,AGG324637SORG,IS19455,NA,NA,Gates,NA,NA,0.101629654,0.019270058,1.150416,7,Landrace,NA,Botswana,NA,NA,NA,NA,Africa
INUG,7824_AGG324638SORG,AGG324638SORG,IS23178,NA,NA,Gates,NA,NA,0.094057359,0.016877214,1.179385,19,Landrace,NA,Zambia,NA,-15.566666,28.283333,NA,Africa
INUI,7826_AGG324640SORG,AGG324640SORG,IS23142,NA,NA,Gates,NA,NA,0.099308997,0.017770413,1.279652,1,Landrace,NA,Tanzania,NA,-7.389999,35.790001,1150,Africa
INUJ,7827_AGG324641SORG,AGG324641SORG,IS23100,NA,NA,Gates,NA,NA,0.115612862,0.021913183,1.217023,7,Landrace,NA,Tanzania,NA,-4.820001,34.740001,NA,Africa
INUK,7828_AGG324643SORG,AGG324643SORG,IS20709,NA,HDW 128,Gates,NA,NA,0.110279226,0.018473151,1.123707,5,Landrace,NA,United States,NA,NA,NA,NA,Americas
INUL,7829_AGG324644SORG,AGG324644SORG,IS20727,NA,HDW 304,Gates,NA,NA,0.131297588,0.024608192,1.480857,3,Landrace,NA,United States,NA,NA,NA,NA,Americas
INUM,7830_AGG324645SORG,AGG324645SORG,IS20763,NA,HDW 109,Gates,NA,NA,0.114457247,0.017980641,1.114823,19,Landrace,NA,United States,NA,NA,NA,NA,Americas
INUN,7831_AGG324646SORG,AGG324646SORG,IS21124,NA,No. 48988,Gates,NA,NA,0.101329333,0.018024266,1.106655,5,Landrace,NA,Kenya,NA,-0.566666,34.316667,NA,Africa
INUP,7832_AGG324651SORG,AGG324651SORG,IS14571,NA,NA,Gates,NA,NA,0.157752634,0.026085523,1.510473,12,Wild,NA,Kenya,NA,NA,NA,NA,Africa
INUQ,7833_AGG324662SORG,AGG324662SORG,IS14556,NA,NA,Gates,NA,NA,0.106540456,0.020876222,1.212764,6,Landrace,NA,Ethiopia,NA,4.510002,35.979999,370,Africa
INUS,7835_AGG324664SORG,AGG324664SORG,IS18868,NA,HW 558,Gates,NA,NA,0.46924826,0.057431627,1.244995,12,Wild,NA,United States,NA,NA,NA,NA,Americas
INUT,7836_AGG324666SORG,AGG324666SORG,IS19418,NA,MT 129,Gates,NA,NA,0.099643871,0.021008663,1.034191,5,Landrace,NA,Ethiopia,NA,NA,NA,NA,Africa
INUU,7837_AGG324678SORG,AGG324678SORG,IS14414,NA,NA,Gates,NA,NA,0.104664984,0.019326374,1.197644,7,Landrace,NA,Malawi,NA,NA,NA,NA,Africa
INUW,7838_AGG324681SORG,AGG324681SORG,IS14216,NA,NA,Gates,NA,NA,0.12641657,0.022414104,1.335921,5,Wild,NA,Angola,NA,NA,NA,NA,Africa
INUX,PI147921,PI147921,IS12531,NA,FACHAO NO. 26,Gates,NA,NA,0.210000104,0.017774611,1.470444,11,Landrace,NA,Ethiopia,NA,9.311111,42.127778,1842,Africa
INUY,PI170799,PI170799,IS12804,NA,IS12804,Gates,NA,NA,0.139452003,0.024395617,1.526408,3,Landrace,NA,Turkey,NA,41.018611,28.964722,NA,Asia
INUZ,PI195754,PI195754,NA,NA,KAOLIANG,BAP,NA,NA,0.080432125,0.013756529,1.155229,16,NA,Kafir-Bicolor,China,NA,NA,NA,NA,Asia
INWA,PI217674,PI217674,IS2262,NA,BEID EL KEBISH,Gates,NA,NA,0.102690653,0.016824193,1.055227,5,Landrace,Caudatum,Sudan,NA,14.033333,35.383333,580,Africa
INWB,PI217680,PI217680,NA,NA,AGYIN AD 11,Gates,NA,NA,0.062333567,0.0098967,1.12934,16,NA,Kafir,Sudan,NA,NA,NA,NA,Africa
INWC,PI221543,PI221543,NA,NA,YAR BAURA,Gates,NA,NA,0.123309085,0.028486806,1.288667,3,NA,NA,Nigeria,NA,NA,NA,NA,Africa
INWD,PI221581,PI221581,NA,NA,BUTURI HUTA,Gates,NA,NA,0.117050386,0.034353347,1.292278,20,NA,NA,Nigeria,NA,13.029999,8.310001,NA,Africa
INWE,PI221638,PI221638,NA,NA,FARIN KWANO,Gates,NA,NA,0.120133939,0.022285605,1.225515,2,NA,NA,Nigeria,NA,NA,NA,NA,Africa
INWF,PI226096,PI226096,IS3121,NA,K.50188;S.Verticilliflotrum;susu;K.50188,Gates,NA,NA,0.124815907,0.037376295,1.442452,3,Landrace,Weedy,Kenya,NA,NA,NA,NA,Africa
INWG,PI229847,PI229847,IS2416,NA,IS2416,Gates,remove,NA,0.091039001,0.017800506,1.239342,16,Landrace,Kafir,South Africa,Transvaal,-23.833333,31.5,NA,Africa
INWH,PI229856,PI229856,IS2421,NA,IS2421,Gates,NA,NA,0.076309758,0.01290539,1.042,16,Landrace,Kafir-Durra,South Africa,Transvaal,-23.833333,31.5,NA,Africa
INWI,PI229875,PI229875,NA,NA,RUSTENBURG RED,Gates,NA,NA,0.081893441,0.014117737,1.163103,16,NA,Kafir,South Africa,Transvaal,NA,NA,NA,Africa
INWJ,PI248323,PI248323,IS1127,NA,IS1127,Gates,NA,NA,0.105230188,0.016919361,1.134515,2,Landrace,NA,India,NA,21.400001,81.966666,NA,Asia
INWK,PI253646,PI253646,IS2179,NA,IS2179,Gates,NA,NA,0.082677023,0.018342841,1.115876,16,Landrace,NA,India,NA,NA,NA,NA,Asia
INWL,PI267364,PI267364,IS2678,NA,IS2678,Gates,NA,NA,0.111377521,0.027975712,1.292874,4,Breeding,Kafir,Uganda,NA,NA,NA,NA,Africa
INWM,PI267413,PI267413,IS2730,NA,IS2730,Gates,NA,NA,0.100651487,0.017330483,1.095752,1,Breeding,Caudatum,Uganda,NA,NA,NA,NA,Africa
INWN,PI267465,PI267465,NA,NA,Feterita Wad Umm Benein 18/56,Gates,NA,NA,0.100565162,0.016696289,1.138152,5,NA,Durra-Caudatum,India,NA,NA,NA,NA,Asia
INWP,PI267472,PI267472,NA,NA,Wad Yabgo 132/53,Gates,NA,NA,0.100385635,0.015602433,1.097848,5,NA,NA,India,NA,NA,NA,NA,Asia
INWQ,PI267492,PI267492,IS2834,NA,IS2834,Gates,NA,NA,0.104348939,0.015646179,1.020972,5,Landrace,Guinea-Caudatum,Zimbabwe,NA,NA,NA,NA,Africa
INWR,PI267505,PI267505,NA,NA,Swazi Red DL/59/125,Gates,NA,NA,0.095788549,0.015022972,1.126755,5,NA,Caudatum,South Africa,NA,NA,NA,NA,Africa
INWS,PI267526,PI267526,IS2873,NA,IS2873,Gates,NA,NA,0.1101769,0.018873262,1.079529,19,Landrace,Caudatum,"Egypt,India",NA,NA,NA,NA,NA
INWT,PI267540,PI267540,NA,NA,Barugan Doki,Gates,NA,NA,0.122127071,0.023576455,1.203184,2,NA,NA,Nigeria,NA,NA,NA,NA,Africa
INWU,PI271619,PI271619,IS13264,NA,IS13264,Gates,NA,NA,0.134861378,0.023390216,1.463468,3,Landrace,NA,India,NA,26.450001,74.640001,486,Asia
INWW,PI287583,PI287583,NA,NA,Feterita Wad Umm Benein,Gates,NA,NA,0.099924698,0.016727048,1.132346,5,NA,Caudatum,Zimbabwe,NA,NA,NA,NA,Africa
INWX,PI299410,PI299410,IS602,NA,IS602,Gates,NA,NA,0.298645266,0.011017255,0.950776,16,Landrace,NA,South Africa,NA,NA,NA,NA,Africa
INWY,PI302231,PI302231,IS14206,NA,IS14206,Gates,NA,NA,0.130800352,0.04013356,1.443153,3,Landrace,NA,Australia,NA,NA,NA,NA,Oceania
INWZ,PI308223,PI308223,IS13791,NA,IS13791,Gates,NA,NA,0.085069614,0.014643688,1.179353,16,Landrace,NA,South Africa,KwaZulu-Natal,-29.015021,29.871031,NA,Africa
INXA,PI308262,PI308262,IS13827,NA,IS13827,Gates,NA,NA,0.078714662,0.013799391,1.140136,16,Landrace,NA,South Africa,KwaZulu-Natal,-29.015021,29.871031,NA,Africa
INXC,PI308374,PI308374,IS13926,NA,IS13926,Gates,NA,NA,0.370531837,0.007278809,0.710127,16,Landrace,NA,South Africa,KwaZulu-Natal,-29.015021,29.871031,NA,Africa
INXD,PI308445,PI308445,IS13989,NA,IS13989,Gates,NA,NA,0.080197469,0.01428963,1.145105,16,Landrace,NA,South Africa,KwaZulu-Natal,-29.015021,29.871031,NA,Africa
INXE,PI329268,PI329268,IS11026,NA,IS11026,Gates,NA,NA,0.12531747,0.021149437,1.111735,18,Landrace,NA,Ethiopia,NA,8.541389,39.268889,1450,Africa
INXF,PI329362,PI329362,NA,NA,Mashila,Gates,NA,NA,0.106871226,0.020090192,1.221843,1,NA,NA,Ethiopia,NA,NA,NA,1500,Africa
INXG,PI329629,PI329629,IS11374,NA,IS11374,Gates,remove,NA,0.139201291,0.022920092,1.615139,11,Landrace,NA,Ethiopia,NA,9.079999,36.529998,2088,Africa
INXH,PI330036,PI330036,IS11758,NA,IS11758,Gates,NA,NA,0.105494321,0.019203951,1.146822,1,Landrace,NA,Ethiopia,NA,9.399999,42.009998,NA,Africa
INXI,PI330243,PI330243,IS11960,NA,IS11960,Gates,NA,NA,0.125762212,0.022103476,1.175812,18,Landrace,NA,Ethiopia,NA,15.319999,38.919998,2356,Africa
INXJ,PI330826,PI330826,NA,NA,Boba,Gates,NA,NA,0.09860184,0.015582294,1.029331,5,NA,NA,Ethiopia,NA,NA,NA,NA,Africa
INXK,PI330885,PI330885,IS12169,NA,IS12169,Gates,remove,NA,0.131377397,0.024460694,1.614901,11,Landrace,NA,Ethiopia,NA,12.029999,39.029998,NA,Africa
INXL,PI474993,PI474993,IS28332,NA,IS28332,Gates,NA,NA,0.122132756,0.026864943,1.309311,2,Landrace,Kafir-Caudatum,Yemen,NA,13.470001,44.090001,215,Asia
INXM,PI475052,PI475052,IS28389,NA,IS28389,Gates,NA,NA,0.137077991,0.025652521,1.5918,3,Landrace,Guinea-Kafir,Yemen,NA,NA,NA,210,Asia
INXP,PI475422,PI475422,IS28740,NA,IS28740,Gates,NA,NA,0.123153905,0.031303882,1.255188,2,Landrace,Kafir-Durra,Yemen,NA,15.319999,44.150001,220,Asia
INXQ,PI475552,PI475552,IS28849,NA,IS28849,Gates,NA,NA,0.126042734,0.022976605,1.173074,18,Landrace,Kafir-Durra,Yemen,NA,15.140001,43.560001,650,Asia
IPBR,PI475714,PI475714,IS28991,NA,IS28991,Gates,remove,remove,0.737788087,0.009628786,0.299075,NA,Landrace,Guinea,Yemen,NA,16.040001,49.240001,1355,Asia
IPBS,PI482745,PI482745,NA,NA,TGR 548,Gates,NA,NA,0.090444708,0.017339116,1.245368,16,Cultivar,NA,Zimbabwe,NA,-19.55,32.56666667,1030,Africa
IPBT,PI482785,PI482785,NA,NA,Chifumbata,Gates,NA,NA,0.083823099,0.013875941,1.157446,16,Cultivar,NA,Zimbabwe,NA,-19.83333333,30.55,1100,Africa
IPBU,PI510903,PI510903,NA,NA,Monoane,Gates,NA,NA,0.078752486,0.012391438,1.061632,16,Cultivar,Caudatum,Botswana,NA,-22.328474,24.684866,NA,Africa
IPBW,PI510952,PI510952,NA,NA,Sweetrid,Gates,NA,NA,0.075451526,0.013491812,1.083151,16,Cultivar,Caudatum-Bicolor,Botswana,NA,-22.328474,24.684866,NA,Africa
IPBX,PI510957,PI510957,IS22287,NA,IS22287,Gates,NA,NA,0.108179913,0.036430324,1.057717,8,"Landrace,Cultivated",Guinea-Kafir,Botswana,NA,-23.100002,26.829999,1050,Africa
IPBY,PI510961,PI510961,NA,NA,Matseloje,Gates,NA,NA,0.102483256,0.019680839,1.172394,7,Cultivar,Guinea,Botswana,NA,-22.328474,24.684866,NA,Africa
IPBZ,PI510965,PI510965,IS22294,NA,IS22294,Gates,NA,NA,0.084631666,0.013231082,1.154933,16,"Landrace,Cultivated",Durra,Botswana,NA,-23.010002,27.760002,820,Africa
IPCA,PI510997,PI510997,NA,NA,Sakaza,Gates,NA,NA,0.097106249,0.023182971,1.16507,16,Cultivar,Guinea,Botswana,NA,-22.328474,24.684866,NA,Africa
IPCB,PI511006,PI511006,NA,NA,Kanye,Gates,remove,remove,0.98482571,0.006580715,0.015013,NA,Cultivar,Durra,Botswana,NA,NA,NA,NA,Africa
IPCC,PI513471,PI513471,NA,NA,Elmalambala,Gates,NA,NA,0.119486541,0.01971427,1.255048,13,Cultivar,Caudatum,Niger,NA,13.71221,9.159453,NA,Africa
IPCD,PI513639,PI513639,NA,NA,Bourtou,Gates,NA,NA,0.114526657,0.019340935,1.107322,8,Cultivar,Durra-Caudatum,Niger,NA,15.464294,6.2854,NA,Africa
IPCE,PI513709,PI513709,NA,NA,Mota Fara,Gates,NA,NA,0.113997863,0.018857786,1.102734,19,Cultivar,NA,Niger,NA,14.7589,5.7747,NA,Africa
IPCF,PI514293,PI514293,NA,NA,Nieniko,Gates,NA,NA,0.177953999,0.035844439,2.399459,10,Cultivar,Guinea-Bicolor,Senegal,NA,13.32,-13.29,NA,Africa
IPCG,PI514353,PI514353,NA,NA,Congossane,Gates,NA,NA,0.10304039,0.02357808,1.157742,17,Cultivar,Guinea,Senegal,NA,13.52,-13.51,NA,Africa
IPCH,PI514460,PI514460,NA,NA,Kinto,Gates,NA,NA,0.272930099,0.027571346,1.934612,10,Cultivar,Guinea,Senegal,NA,NA,NA,NA,Africa
IPCI,PI515633,PI515633,NA,NA,Tchinlore,Gates,NA,NA,0.11608173,0.018390091,1.184001,17,Cultivar,Guinea-Bicolor,Togo,NA,8.619543,0.824782,NA,Africa
IPCJ,PI515666,PI515666,NA,NA,Tchati,Gates,NA,NA,0.108800744,0.031706501,1.176966,4,Cultivar,NA,Togo,NA,NA,NA,NA,Africa
IPCK,PI521703,PI521703,NA,NA,Tengaramanga,Gates,NA,NA,0.105107868,0.017211895,1.171543,7,Cultivar,Guinea-Bicolor,Malawi,NA,NA,NA,NA,Africa
IPCL,PI521833,PI521833,IS21519,NA,IS21519,Gates,NA,NA,0.102823371,0.027010873,1.17821,7,"Landrace,Cultivated",NA,Malawi,NA,-11.71,33.630001,NA,Africa
IPCM,PI525747,PI525747,NA,NA,Sonikoura,Gates,NA,NA,0.105543515,0.02295354,1.180761,17,Cultivar,Guinea-Caudatum,Mali,NA,NA,NA,NA,Africa
IPCN,PI525828,PI525828,NA,NA,Kende Ble,Gates,NA,NA,0.169211808,0.035309643,2.418844,10,Cultivar,Guinea,Mali,NA,NA,NA,NA,Africa
IPCP,PI526034,PI526034,NA,NA,Nemaka,Gates,NA,NA,0.084944577,0.014801484,1.046374,9,Cultivar,Guinea,Mali,NA,NA,NA,NA,Africa
IPCQ,PI526741,PI526741,NA,NA,AMM 364,Gates,remove,remove,0.93376458,0.008953598,0.053867,NA,Landrace,Guinea-Bicolor,Zimbabwe,NA,-16.26666667,31.5,1290,Africa
